Hierarchical Name,Hierarchical Name,Coded Text
"Internals\\Alvarez-Segura, M., Echavarria, M. F., & Vitz, P. C. (2017). A psycho-ethical approach to personality disorders The role of volitionality. New Ideas in Psychology",Nodes\\Year\2017,A psycho-ethical approach to personality disorders: The role of volitionality
"Internals\\Amer, T., Campbell, K. L., & Hasher, L. (2016). Cognitive control as a double-edged sword.",Nodes\\cognitive systems,cognitive control
"Internals\\Amer, T., Campbell, K. L., & Hasher, L. (2016). Cognitive control as a double-edged sword.",Nodes\\cognitive systems\cognitive control,cognitive control
"Internals\\Amer, T., Campbell, K. L., & Hasher, L. (2016). Cognitive control as a double-edged sword.",Nodes\\Journal,"Cognitive Control As a 
Double-Edged Sword"
"Internals\\Amer, T., Campbell, K. L., & Hasher, L. (2016). Cognitive control as a double-edged sword.",Nodes\\Journal\Trends in Cognitive Science,"Cognitive Control As a 
Double-Edged Sword"
"Internals\\Amer, T., Campbell, K. L., & Hasher, L. (2016). Cognitive control as a double-edged sword.",Nodes\\Number of Citations,"Cognitive Control As a 
Double-Edged Sword"
"Internals\\Amer, T., Campbell, K. L., & Hasher, L. (2016). Cognitive control as a double-edged sword.",Nodes\\Number of Citations\21-30,"Cognitive Control As a 
Double-Edged Sword"
"Internals\\Amer, T., Campbell, K. L., & Hasher, L. (2016). Cognitive control as a double-edged sword.",Nodes\\Year,"Cognitive Control As a 
Double-Edged Sword"
"Internals\\Amer, T., Campbell, K. L., & Hasher, L. (2016). Cognitive control as a double-edged sword.",Nodes\\Year\2016,"Cognitive Control As a 
Double-Edged Sword"
"Internals\\Amsel, E. (2015). Conceptual and pedagogical challenges in understanding the whole person. New Ideas in Psychology",Nodes\\Form Psychology,Form Psychology
"Internals\\Amsel, E. (2015). Conceptual and pedagogical challenges in understanding the whole person. New Ideas in Psychology",Nodes\\Journal,Conceptual and pedagogical challenges in understanding the whole person
"Internals\\Amsel, E. (2015). Conceptual and pedagogical challenges in understanding the whole person. New Ideas in Psychology",Nodes\\Journal\New Ideas in Psychology,Conceptual and pedagogical challenges in understanding the whole person
"Internals\\Amsel, E. (2015). Conceptual and pedagogical challenges in understanding the whole person. New Ideas in Psychology",Nodes\\Number of Citations,Conceptual and pedagogical challenges in understanding the whole person
"Internals\\Amsel, E. (2015). Conceptual and pedagogical challenges in understanding the whole person. New Ideas in Psychology",Nodes\\Number of Citations\1-10,Conceptual and pedagogical challenges in understanding the whole person
"Internals\\Amsel, E. (2015). Conceptual and pedagogical challenges in understanding the whole person. New Ideas in Psychology",Nodes\\Teaching Psychology,Teaching Psychology
"Internals\\Amsel, E. (2015). Conceptual and pedagogical challenges in understanding the whole person. New Ideas in Psychology",Nodes\\Year,Conceptual and pedagogical challenges in understanding the whole person
"Internals\\Amsel, E. (2015). Conceptual and pedagogical challenges in understanding the whole person. New Ideas in Psychology",Nodes\\Year\2015,Conceptual and pedagogical challenges in understanding the whole person
"Internals\\Anderman, E. M., Anderman, L. H., Yough, M. S., & Gimbert, B. G. (2010). Value-added models of assessment Implications for motivation and accountability. Educational Psychologist",Nodes\\Academic Performance,academic achievement
"Internals\\Anderman, E. M., Anderman, L. H., Yough, M. S., & Gimbert, B. G. (2010). Value-added models of assessment Implications for motivation and accountability. Educational Psychologist",Nodes\\Academic Performance\academic achievement,academic achievement
"Internals\\Anderman, E. M., Anderman, L. H., Yough, M. S., & Gimbert, B. G. (2010). Value-added models of assessment Implications for motivation and accountability. Educational Psychologist",Nodes\\Achievement Goal Theory,achievement goal orientation theory perspective
"Internals\\Anderman, E. M., Anderman, L. H., Yough, M. S., & Gimbert, B. G. (2010). Value-added models of assessment Implications for motivation and accountability. Educational Psychologist",Nodes\\Achievement Goal Theory\achievement goal orientation theory perspective,achievement goal orientation theory perspective
"Internals\\Anderman, E. M., Anderman, L. H., Yough, M. S., & Gimbert, B. G. (2010). Value-added models of assessment Implications for motivation and accountability. Educational Psychologist",Nodes\\Journal,Value-Added Models of Assessment: Implications for Motivation and Accountability
"Internals\\Anderman, E. M., Anderman, L. H., Yough, M. S., & Gimbert, B. G. (2010). Value-added models of assessment Implications for motivation and accountability. Educational Psychologist",Nodes\\Journal\Educational Psychologist,Value-Added Models of Assessment: Implications for Motivation and Accountability
"Internals\\Anderman, E. M., Anderman, L. H., Yough, M. S., & Gimbert, B. G. (2010). Value-added models of assessment Implications for motivation and accountability. Educational Psychologist",Nodes\\Number of Citations,Value-Added Models of Assessment: Implications for Motivation and Accountability
"Internals\\Anderman, E. M., Anderman, L. H., Yough, M. S., & Gimbert, B. G. (2010). Value-added models of assessment Implications for motivation and accountability. Educational Psychologist",Nodes\\Number of Citations\91-100,Value-Added Models of Assessment: Implications for Motivation and Accountability
"Internals\\Anderman, E. M., Anderman, L. H., Yough, M. S., & Gimbert, B. G. (2010). Value-added models of assessment Implications for motivation and accountability. Educational Psychologist",Nodes\\students’ development,student motivation
"Internals\\Anderman, E. M., Anderman, L. H., Yough, M. S., & Gimbert, B. G. (2010). Value-added models of assessment Implications for motivation and accountability. Educational Psychologist",Nodes\\students’ development\Student Motivation,student motivation
"Internals\\Anderman, E. M., Anderman, L. H., Yough, M. S., & Gimbert, B. G. (2010). Value-added models of assessment Implications for motivation and accountability. Educational Psychologist",Nodes\\Values,Value-Added Models of Assessment
"Internals\\Anderman, E. M., Anderman, L. H., Yough, M. S., & Gimbert, B. G. (2010). Value-added models of assessment Implications for motivation and accountability. Educational Psychologist",Nodes\\Values\Value-Added Models of Assessment,Value-Added Models of Assessment
"Internals\\Anderman, E. M., Anderman, L. H., Yough, M. S., & Gimbert, B. G. (2010). Value-added models of assessment Implications for motivation and accountability. Educational Psychologist",Nodes\\Year,Value-Added Models of Assessment: Implications for Motivation and Accountability
"Internals\\Anderman, E. M., Anderman, L. H., Yough, M. S., & Gimbert, B. G. (2010). Value-added models of assessment Implications for motivation and accountability. Educational Psychologist",Nodes\\Year\2010,Value-Added Models of Assessment: Implications for Motivation and Accountability
"Internals\\Andersen, S. L., & Teicher, M. H. (2009). Desperately driven and no brakes developmental stress exposure and subsequent risk for substance abuse",Nodes\\Abnormality\Addition and Substance Abuse,Abuse
"Internals\\Andersen, S. L., & Teicher, M. H. (2009). Desperately driven and no brakes developmental stress exposure and subsequent risk for substance abuse",Nodes\\Abnormality\Addition and Substance Abuse\Alcohol,Alcohol
"Internals\\Andersen, S. L., & Teicher, M. H. (2009). Desperately driven and no brakes developmental stress exposure and subsequent risk for substance abuse",Nodes\\Abnormality\Addition and Substance Abuse\Cocaine,Cocaine
"Internals\\Andersen, S. L., & Teicher, M. H. (2009). Desperately driven and no brakes developmental stress exposure and subsequent risk for substance abuse",Nodes\\Development,Adolescence
"Internals\\Andersen, S. L., & Teicher, M. H. (2009). Desperately driven and no brakes developmental stress exposure and subsequent risk for substance abuse",Nodes\\Development\adolescent development,Adolescence
"Internals\\Andersen, S. L., & Teicher, M. H. (2009). Desperately driven and no brakes developmental stress exposure and subsequent risk for substance abuse",Nodes\\Development\adolescent development\adolescence,Adolescence
"Internals\\Andersen, S. L., & Teicher, M. H. (2009). Desperately driven and no brakes developmental stress exposure and subsequent risk for substance abuse",Nodes\\Journal,Desperately driven and no brakes: Developmental stress exposure and subsequent risk for substance abuse
"Internals\\Andersen, S. L., & Teicher, M. H. (2009). Desperately driven and no brakes developmental stress exposure and subsequent risk for substance abuse",Nodes\\Journal\Neuroscience and Biobehavioral Reviews,Desperately driven and no brakes: Developmental stress exposure and subsequent risk for substance abuse
"Internals\\Andersen, S. L., & Teicher, M. H. (2009). Desperately driven and no brakes developmental stress exposure and subsequent risk for substance abuse",Nodes\\Number of Citations,Desperately driven and no brakes: Developmental stress exposure and subsequent risk for substance abuse
"Internals\\Andersen, S. L., & Teicher, M. H. (2009). Desperately driven and no brakes developmental stress exposure and subsequent risk for substance abuse",Nodes\\Number of Citations\241-250,Desperately driven and no brakes: Developmental stress exposure and subsequent risk for substance abuse
"Internals\\Andersen, S. L., & Teicher, M. H. (2009). Desperately driven and no brakes developmental stress exposure and subsequent risk for substance abuse",Nodes\\risk perception,risk
"Internals\\Andersen, S. L., & Teicher, M. H. (2009). Desperately driven and no brakes developmental stress exposure and subsequent risk for substance abuse",Nodes\\risk perception\risk,risk
"Internals\\Andersen, S. L., & Teicher, M. H. (2009). Desperately driven and no brakes developmental stress exposure and subsequent risk for substance abuse",Nodes\\stress,Stress
"Internals\\Andersen, S. L., & Teicher, M. H. (2009). Desperately driven and no brakes developmental stress exposure and subsequent risk for substance abuse",Nodes\\Year,Desperately driven and no brakes: Developmental stress exposure and subsequent risk for substance abuse
"Internals\\Andersen, S. L., & Teicher, M. H. (2009). Desperately driven and no brakes developmental stress exposure and subsequent risk for substance abuse",Nodes\\Year\2008,Desperately driven and no brakes: Developmental stress exposure and subsequent risk for substance abuse
"Internals\\Anderson, J. R., & Fincham, J. M. (2014). Extending problem-solving procedures through reflection. Cognitive psychology",Nodes\\Brain\brain structure\frontal cortex\prefrontal cortex,prefrontal cortex
"Internals\\Anderson, J. R., & Fincham, J. M. (2014). Extending problem-solving procedures through reflection. Cognitive psychology",Nodes\\cognitive systems,Cognitive modeling
"Internals\\Anderson, J. R., & Fincham, J. M. (2014). Extending problem-solving procedures through reflection. Cognitive psychology",Nodes\\cognitive systems\Cognitive Modeling,Cognitive modeling
"Internals\\Anderson, J. R., & Fincham, J. M. (2014). Extending problem-solving procedures through reflection. Cognitive psychology",Nodes\\Declarative,declarative representations
"Internals\\Anderson, J. R., & Fincham, J. M. (2014). Extending problem-solving procedures through reflection. Cognitive psychology",Nodes\\Declarative\declarative representations,declarative representations
"Internals\\Anderson, J. R., & Fincham, J. M. (2014). Extending problem-solving procedures through reflection. Cognitive psychology",Nodes\\Journal,Extending problem-solving procedures through reﬂection
"Internals\\Anderson, J. R., & Fincham, J. M. (2014). Extending problem-solving procedures through reflection. Cognitive psychology",Nodes\\Journal\Cognitive Psychology,Extending problem-solving procedures through reﬂection
